10	124977.449988	3340.299090
1700	-nan(ind)	-nan(ind)
1710	-nan(ind)	-nan(ind)
1720	-nan(ind)	-nan(ind)
1730	-nan(ind)	-nan(ind)
1740	-nan(ind)	-nan(ind)
1750	-nan(ind)	-nan(ind)
1760	-nan(ind)	-nan(ind)
1770	-nan(ind)	-nan(ind)
1780	-nan(ind)	-nan(ind)
1790	-nan(ind)	-nan(ind)
1800	-nan(ind)	-nan(ind)
1810	-nan(ind)	-nan(ind)
1820	-nan(ind)	-nan(ind)
1830	-nan(ind)	-nan(ind)
1840	-nan(ind)	-nan(ind)
1850	-nan(ind)	-nan(ind)
1860	-nan(ind)	-nan(ind)
1870	-nan(ind)	-nan(ind)
1880	-nan(ind)	-nan(ind)
1890	-nan(ind)	-nan(ind)
1900	-nan(ind)	-nan(ind)
1910	-nan(ind)	-nan(ind)
1920	-nan(ind)	-nan(ind)
1930	-nan(ind)	-nan(ind)
1940	-nan(ind)	-nan(ind)
1950	-nan(ind)	-nan(ind)
1960	-nan(ind)	-nan(ind)
1970	-nan(ind)	-nan(ind)
1980	-nan(ind)	-nan(ind)
1990	-nan(ind)	-nan(ind)
2000	-nan(ind)	-nan(ind)
2010	-nan(ind)	-nan(ind)
2020	-nan(ind)	-nan(ind)
2030	-nan(ind)	-nan(ind)
2040	-nan(ind)	-nan(ind)
2050	-nan(ind)	-nan(ind)
2060	-nan(ind)	-nan(ind)
2070	-nan(ind)	-nan(ind)
2080	-nan(ind)	-nan(ind)
2090	-nan(ind)	-nan(ind)
2100	-nan(ind)	-nan(ind)
2110	-nan(ind)	-nan(ind)
2120	-nan(ind)	-nan(ind)
2130	-nan(ind)	-nan(ind)
2140	-nan(ind)	-nan(ind)
2150	-nan(ind)	-nan(ind)
2160	-nan(ind)	-nan(ind)
2170	-nan(ind)	-nan(ind)
2180	-nan(ind)	-nan(ind)
2190	-nan(ind)	-nan(ind)
2200	-nan(ind)	-nan(ind)
2210	-nan(ind)	-nan(ind)
2220	-nan(ind)	-nan(ind)
2230	-nan(ind)	-nan(ind)
2240	-nan(ind)	-nan(ind)
2250	-nan(ind)	-nan(ind)
2260	-nan(ind)	-nan(ind)
2270	-nan(ind)	-nan(ind)
2280	-nan(ind)	-nan(ind)
2290	-nan(ind)	-nan(ind)
2300	-nan(ind)	-nan(ind)
2310	-nan(ind)	-nan(ind)
2320	-nan(ind)	-nan(ind)
2330	-nan(ind)	-nan(ind)
2340	-nan(ind)	-nan(ind)
2350	-nan(ind)	-nan(ind)
2360	-nan(ind)	-nan(ind)
2370	-nan(ind)	-nan(ind)
2380	-nan(ind)	-nan(ind)
2390	-nan(ind)	-nan(ind)
2400	-nan(ind)	-nan(ind)
2410	-nan(ind)	-nan(ind)
2420	-nan(ind)	-nan(ind)
2430	-nan(ind)	-nan(ind)
2440	-nan(ind)	-nan(ind)
2450	-nan(ind)	-nan(ind)
2460	-nan(ind)	-nan(ind)
2470	-nan(ind)	-nan(ind)
2480	-nan(ind)	-nan(ind)
2490	-nan(ind)	-nan(ind)
2500	-nan(ind)	-nan(ind)
2510	-nan(ind)	-nan(ind)
2520	-nan(ind)	-nan(ind)
2530	-nan(ind)	-nan(ind)
2540	-nan(ind)	-nan(ind)
2550	-nan(ind)	-nan(ind)
2560	-nan(ind)	-nan(ind)
2570	-nan(ind)	-nan(ind)
2580	-nan(ind)	-nan(ind)
2590	-nan(ind)	-nan(ind)
2600	-nan(ind)	-nan(ind)
2610	-nan(ind)	-nan(ind)
2620	-nan(ind)	-nan(ind)
2630	-nan(ind)	-nan(ind)
2640	-nan(ind)	-nan(ind)
2650	-nan(ind)	-nan(ind)
2660	-nan(ind)	-nan(ind)
2670	-nan(ind)	-nan(ind)
2680	-nan(ind)	-nan(ind)
2690	-nan(ind)	-nan(ind)
2700	-nan(ind)	-nan(ind)
2710	-nan(ind)	-nan(ind)
2720	-nan(ind)	-nan(ind)
2730	-nan(ind)	-nan(ind)
2740	-nan(ind)	-nan(ind)
2750	-nan(ind)	-nan(ind)
2760	-nan(ind)	-nan(ind)
2770	-nan(ind)	-nan(ind)
2780	-nan(ind)	-nan(ind)
2790	-nan(ind)	-nan(ind)
2800	-nan(ind)	-nan(ind)
2810	-nan(ind)	-nan(ind)
2820	-nan(ind)	-nan(ind)
2830	-nan(ind)	-nan(ind)
2840	-nan(ind)	-nan(ind)
2850	-nan(ind)	-nan(ind)
2860	-nan(ind)	-nan(ind)
2870	-nan(ind)	-nan(ind)
2880	-nan(ind)	-nan(ind)
2890	-nan(ind)	-nan(ind)
2900	-nan(ind)	-nan(ind)
2910	-nan(ind)	-nan(ind)
2920	-nan(ind)	-nan(ind)
2930	-nan(ind)	-nan(ind)
2940	-nan(ind)	-nan(ind)
2950	-nan(ind)	-nan(ind)
2960	-nan(ind)	-nan(ind)
2970	-nan(ind)	-nan(ind)
2980	-nan(ind)	-nan(ind)
2990	-nan(ind)	-nan(ind)
3000	-nan(ind)	-nan(ind)
3010	-nan(ind)	-nan(ind)
3020	-nan(ind)	-nan(ind)
3030	-nan(ind)	-nan(ind)
3040	-nan(ind)	-nan(ind)
3050	-nan(ind)	-nan(ind)
3060	-nan(ind)	-nan(ind)
3070	-nan(ind)	-nan(ind)
3080	-nan(ind)	-nan(ind)
3090	-nan(ind)	-nan(ind)
3100	-nan(ind)	-nan(ind)
3110	-nan(ind)	-nan(ind)
3120	-nan(ind)	-nan(ind)
3130	-nan(ind)	-nan(ind)
3140	-nan(ind)	-nan(ind)
3150	-nan(ind)	-nan(ind)
3160	-nan(ind)	-nan(ind)
3170	-nan(ind)	-nan(ind)
3180	-nan(ind)	-nan(ind)
3190	-nan(ind)	-nan(ind)
3200	-nan(ind)	-nan(ind)
3210	-nan(ind)	-nan(ind)
3220	-nan(ind)	-nan(ind)
3230	-nan(ind)	-nan(ind)
3240	-nan(ind)	-nan(ind)
3250	-nan(ind)	-nan(ind)
3260	-nan(ind)	-nan(ind)
3270	-nan(ind)	-nan(ind)
3280	-nan(ind)	-nan(ind)
3290	-nan(ind)	-nan(ind)
3300	-nan(ind)	-nan(ind)
